1 1:2 2:0.950516 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8274 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950427 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8419 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950324 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8365 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950119 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8537 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949867 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8647 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950002 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.8764 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950096 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.9171 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950053 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.9376 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950127 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.9648 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950276 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:40.9924 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950449 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.0586 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.95079 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.1234 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950488 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.1697 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950424 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.2249 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.950163 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.265 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949984 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.3146 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949795 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.3636 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949641 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.4128 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949695 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.4507 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949458 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.4659 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949333 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.5022 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.949153 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.56 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.948686 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.6358 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.948397 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.6904 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.948212 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.7432 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:2 2:0.947676 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:41.7869 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
